,country_code,ano,Annual CO₂ emissions
0,AFG,1961,490798.0
1,AFG,1962,688594.0
2,AFG,1963,706736.0
3,AFG,1964,838551.0
4,AFG,1965,1006917.0
5,AFG,1966,1091159.0
6,AFG,1967,1281865.0
7,AFG,1968,1223391.0
8,AFG,1969,941232.0
9,AFG,1970,1670397.0
10,AFG,1971,1893554.0
11,AFG,1972,1530347.0
12,AFG,1973,1635454.0
13,AFG,1974,1913152.0
14,AFG,1975,2121383.0
15,AFG,1976,1980859.0
16,AFG,1977,2384175.0
17,AFG,1978,2153300.0
18,AFG,1979,2232754.0
19,AFG,1980,1756302.0
20,AFG,1981,1978463.0
21,AFG,1982,2094580.9
22,AFG,1983,2519954.0
23,AFG,1984,2821540.0
24,AFG,1985,3501422.0
25,AFG,1986,3133645.0
26,AFG,1987,3113826.0
27,AFG,1988,2856896.0
28,AFG,1989,2764855.0
29,AFG,1990,2024326.1
30,AFG,1991,1914301.0
31,AFG,1992,1482054.0
32,AFG,1993,1486943.0
33,AFG,1994,1453829.0
34,AFG,1995,1417327.0
35,AFG,1996,1370104.0
36,AFG,1997,1304152.0
37,AFG,1998,1278504.0
38,AFG,1999,1091640.0
39,AFG,2000,1047127.94
40,AFG,2001,1069098.0
41,AFG,2002,1340995.0
42,AFG,2003,1559602.0
43,AFG,2004,1237247.0
44,AFG,2005,1889507.0
45,AFG,2006,2159318.0
46,AFG,2007,2799909.0
47,AFG,2008,4254477.0
48,AFG,2009,6391888.0
49,AFG,2010,8364803.5
50,AFG,2011,11838316.0
51,AFG,2012,10035314.0
52,AFG,2013,9250510.0
53,AFG,2014,9170309.0
54,AFG,2015,9791093.0
55,AFG,2016,9067598.0
56,AFG,2017,9867969.0
57,AFG,2018,10818048.0
58,AFG,2019,11081621.0
59,AFG,2020,11888066.0
60,AFG,2021,12283148.0
61,AFG,2022,12147948.0
1850,ALB,1961,2278533.0
1851,ALB,1962,2461733.0
1852,ALB,1963,2080617.0
1853,ALB,1964,2014694.9
1854,ALB,1965,2172159.0
1855,ALB,1966,2549579.0
1856,ALB,1967,2677493.0
1857,ALB,1968,3069214.0
1858,ALB,1969,3241303.0
1859,ALB,1970,3739486.0
1860,ALB,1971,4348023.0
1861,ALB,1972,5637977.0
1862,ALB,1973,5286406.0
1863,ALB,1974,4341512.0
1864,ALB,1975,4591172.0
1865,ALB,1976,4947198.0
1866,ALB,1977,5717343.0
1867,ALB,1978,6491245.0
1868,ALB,1979,7583971.0
1869,ALB,1980,5170837.0
1870,ALB,1981,7339622.0
1871,ALB,1982,7307607.0
1872,ALB,1983,7630809.0
1873,ALB,1984,7825903.0
1874,ALB,1985,7881540.0
1875,ALB,1986,8058077.0
1876,ALB,1987,7447081.0
1877,ALB,1988,7329222.0
1878,ALB,1989,8986169.0
1879,ALB,1990,5520602.0
1880,ALB,1991,4290226.0
1881,ALB,1992,2517116.0
1882,ALB,1993,2337999.0
1883,ALB,1994,1923806.0
1884,ALB,1995,2089065.1
1885,ALB,1996,2017508.0
1886,ALB,1997,1543009.0
1887,ALB,1998,1754709.0
1888,ALB,1999,2986196.0
1889,ALB,2000,3024926.0
1890,ALB,2001,3220656.0
1891,ALB,2002,3748272.0
1892,ALB,2003,4303499.0
1893,ALB,2004,4176684.0
1894,ALB,2005,4261413.0
1895,ALB,2006,3910715.0
1896,ALB,2007,3948970.0
1897,ALB,2008,4397043.0
1898,ALB,2009,4406552.0
1899,ALB,2010,4783865.0
1900,ALB,2011,5314676.0
1901,ALB,2012,4850060.0
1902,ALB,2013,5287465.0
1903,ALB,2014,5999650.0
1904,ALB,2015,4712144.0
1905,ALB,2016,4631979.0
1906,ALB,2017,5293048.0
1907,ALB,2018,4894953.0
1908,ALB,2019,4826944.0
1909,ALB,2020,5018921.0
1910,ALB,2021,4903652.0
1911,ALB,2022,4954730.0
1912,DZA,1961,6055920.0
1913,DZA,1962,5661010.0
1914,DZA,1963,5419154.0
1915,DZA,1964,5643044.0
1916,DZA,1965,6588533.0
1917,DZA,1966,8420862.0
1918,DZA,1967,8431587.0
1919,DZA,1968,9050236.0
1920,DZA,1969,11262968.0
1921,DZA,1970,15058960.0
1922,DZA,1971,18649530.0
1923,DZA,1972,28322640.0
1924,DZA,1973,38277400.0
1925,DZA,1974,31876660.0
1926,DZA,1975,32001206.0
1927,DZA,1976,39131068.0
1928,DZA,1977,41844910.0
1929,DZA,1978,62455264.0
1930,DZA,1979,45545550.0
1931,DZA,1980,66416464.0
1932,DZA,1981,46341984.0
1933,DZA,1982,39173030.0
1934,DZA,1983,52503910.0
1935,DZA,1984,70946536.0
1936,DZA,1985,72609070.0
1937,DZA,1986,76080390.0
1938,DZA,1987,83883496.0
1939,DZA,1988,83708040.0
1940,DZA,1989,79808264.0
1941,DZA,1990,76737624.0
1942,DZA,1991,78806830.0
1943,DZA,1992,79883310.0
1944,DZA,1993,81943970.0
1945,DZA,1994,88608390.0
1946,DZA,1995,96776920.0
1947,DZA,1996,100039430.0
1948,DZA,1997,88369416.0
1949,DZA,1998,106536560.0
1950,DZA,1999,91449100.0
1951,DZA,2000,85398600.0
1952,DZA,2001,86839250.0
1953,DZA,2002,90692380.0
1954,DZA,2003,94580616.0
1955,DZA,2004,91714220.0
1956,DZA,2005,110992510.0
1957,DZA,2006,105896180.0
1958,DZA,2007,109889440.0
1959,DZA,2008,111087410.0
1960,DZA,2009,118856330.0
1961,DZA,2010,118353256.0
1962,DZA,2011,125094570.0
1963,DZA,2012,135674290.0
1964,DZA,2013,140786380.0
1965,DZA,2014,151282780.0
1966,DZA,2015,160087460.0
1967,DZA,2016,158481630.0
1968,DZA,2017,165089600.0
1969,DZA,2018,171276020.0
1970,DZA,2019,178577220.0
1971,DZA,2020,169892770.0
1972,DZA,2021,180225200.0
1973,DZA,2022,176345140.0
1974,AND,1961,0.0
1975,AND,1962,0.0
1976,AND,1963,0.0
1977,AND,1964,0.0
1978,AND,1965,0.0
1979,AND,1966,0.0
1980,AND,1967,0.0
1981,AND,1968,0.0
1982,AND,1969,0.0
1983,AND,1970,0.0
1984,AND,1971,0.0
1985,AND,1972,0.0
1986,AND,1973,0.0
1987,AND,1974,0.0
1988,AND,1975,0.0
1989,AND,1976,0.0
1990,AND,1977,0.0
1991,AND,1978,0.0
1992,AND,1979,0.0
1993,AND,1980,0.0
1994,AND,1981,0.0
1995,AND,1982,0.0
1996,AND,1983,0.0
1997,AND,1984,0.0
1998,AND,1985,0.0
1999,AND,1986,0.0
2000,AND,1987,0.0
2001,AND,1988,0.0
2002,AND,1989,0.0
2003,AND,1990,406704.0
2004,AND,1991,406704.0
2005,AND,1992,406704.0
2006,AND,1993,410368.0
2007,AND,1994,406704.0
2008,AND,1995,425024.0
2009,AND,1996,454336.0
2010,AND,1997,465328.0
2011,AND,1998,490976.0
2012,AND,1999,512960.03
2013,AND,2000,523952.0
2014,AND,2001,523952.0
2015,AND,2002,531280.0
2016,AND,2003,534944.0
2017,AND,2004,560592.0
2018,AND,2005,575248.0
2019,AND,2006,545936.0
2020,AND,2007,538608.0
2021,AND,2008,538608.0
2022,AND,2009,516623.97
2023,AND,2010,516623.97
2024,AND,2011,490976.0
2025,AND,2012,487312.0
2026,AND,2013,476320.0
2027,AND,2014,461664.0
2028,AND,2015,465328.0
2029,AND,2016,468992.0
2030,AND,2017,465328.0
2031,AND,2018,494640.0
2032,AND,2019,483648.0
2033,AND,2020,373728.0
2034,AND,2021,363046.0
2035,AND,2022,368645.0
2036,AGO,1961,453707.0
2037,AGO,1962,1179127.0
2038,AGO,1963,1149723.0
2039,AGO,1964,1222914.0
2040,AGO,1965,1186155.0
2041,AGO,1966,1552466.0
2042,AGO,1967,991815.0
2043,AGO,1968,1669539.0
2044,AGO,1969,2783093.0
2045,AGO,1970,3577917.0
2046,AGO,1971,3405383.0
2047,AGO,1972,4500532.0
2048,AGO,1973,4873664.0
2049,AGO,1974,4866398.0
2050,AGO,1975,4408811.0
2051,AGO,1976,3280042.0
2052,AGO,1977,3527511.0
2053,AGO,1978,5399808.0
2054,AGO,1979,5489191.0
2055,AGO,1980,5334352.0
2056,AGO,1981,5266774.0
2057,AGO,1982,4635179.0
2058,AGO,1983,5100535.0
2059,AGO,1984,4985847.0
2060,AGO,1985,4676114.0
2061,AGO,1986,4633840.0
2062,AGO,1987,5786029.0
2063,AGO,1988,5049306.0
2064,AGO,1989,4922750.0
2065,AGO,1990,5089864.0
2066,AGO,1991,5064054.0
2067,AGO,1992,5164449.0
2068,AGO,1993,5748389.0
2069,AGO,1994,11353248.0
2070,AGO,1995,12616650.0
2071,AGO,1996,15248957.0
2072,AGO,1997,15884249.0
2073,AGO,1998,16513294.0
2074,AGO,1999,17261278.0
2075,AGO,2000,15995108.0
2076,AGO,2001,15908461.0
2077,AGO,2002,16080002.0
2078,AGO,2003,17484428.0
2079,AGO,2004,17015688.0
2080,AGO,2005,15386819.0
2081,AGO,2006,17144838.0
2082,AGO,2007,17587936.0
2083,AGO,2008,18750156.0
2084,AGO,2009,20668332.0
2085,AGO,2010,22983320.0
2086,AGO,2011,23397032.0
2087,AGO,2012,25940960.0
2088,AGO,2013,25709742.0
2089,AGO,2014,24767724.0
2090,AGO,2015,26030358.0
2091,AGO,2016,23992706.0
2092,AGO,2017,22617028.0
2093,AGO,2018,21434458.0
2094,AGO,2019,19222174.0
2095,AGO,2020,16764786.0
2096,AGO,2021,17505714.0
2097,AGO,2022,16070269.0
2098,AIA,1961,
2099,AIA,1962,
2100,AIA,1963,
2101,AIA,1964,
2102,AIA,1965,
2103,AIA,1966,
2104,AIA,1967,
2105,AIA,1968,
2106,AIA,1969,
2107,AIA,1970,
2108,AIA,1971,
2109,AIA,1972,
2110,AIA,1973,
2111,AIA,1974,
2112,AIA,1975,
2113,AIA,1976,
2114,AIA,1977,
2115,AIA,1978,
2116,AIA,1979,
2117,AIA,1980,
2118,AIA,1981,
2119,AIA,1982,
2120,AIA,1983,
2121,AIA,1984,
2122,AIA,1985,
2123,AIA,1986,
2124,AIA,1987,
2125,AIA,1988,
2126,AIA,1989,
2127,AIA,1990,47632.0
2128,AIA,1991,47632.0
2129,AIA,1992,47632.0
2130,AIA,1993,54960.0
2131,AIA,1994,54960.0
2132,AIA,1995,58624.0
2133,AIA,1996,62288.0
2134,AIA,1997,62288.0
2135,AIA,1998,65952.0
2136,AIA,1999,65952.0
2137,AIA,2000,76944.0
2138,AIA,2001,84272.0
2139,AIA,2002,84272.0
2140,AIA,2003,87936.0
2141,AIA,2004,102592.0
2142,AIA,2005,109920.0
2143,AIA,2006,120912.0
2144,AIA,2007,124576.0
2145,AIA,2008,124576.0
2146,AIA,2009,124576.0
2147,AIA,2010,131904.0
2148,AIA,2011,124576.0
2149,AIA,2012,120912.0
2150,AIA,2013,117248.0
2151,AIA,2014,120912.0
2152,AIA,2015,139232.0
2153,AIA,2016,139232.0
2154,AIA,2017,128240.01
2155,AIA,2018,131904.0
2156,AIA,2019,146560.0
2157,AIA,2020,142896.0
2158,AIA,2021,137698.0
2159,AIA,2022,138967.0
2160,ATA,1961,
2161,ATA,1962,
2162,ATA,1963,
2163,ATA,1964,
2164,ATA,1965,
2165,ATA,1966,
2166,ATA,1967,
2167,ATA,1968,
2168,ATA,1969,
2169,ATA,1970,
2170,ATA,1971,
2171,ATA,1972,
2172,ATA,1973,
2173,ATA,1974,
2174,ATA,1975,
2175,ATA,1976,
2176,ATA,1977,
2177,ATA,1978,
2178,ATA,1979,
2179,ATA,1980,
2180,ATA,1981,
2181,ATA,1982,
2182,ATA,1983,
2183,ATA,1984,
2184,ATA,1985,
2185,ATA,1986,
2186,ATA,1987,3664.0
2187,ATA,1988,7328.0
2188,ATA,1989,7328.0
2189,ATA,1990,10992.0
2190,ATA,1991,14656.0
2191,ATA,1992,14656.0
2192,ATA,1993,14656.0
2193,ATA,1994,14656.0
2194,ATA,1995,3664.0
2195,ATA,1996,3664.0
2196,ATA,1997,3664.0
2197,ATA,1998,3664.0
2198,ATA,1999,3664.0
2199,ATA,2000,3664.0
2200,ATA,2001,3664.0
2201,ATA,2002,3664.0
2202,ATA,2003,3664.0
2203,ATA,2004,7328.0
2204,ATA,2005,7328.0
2205,ATA,2006,7328.0
2206,ATA,2007,10992.0
2207,ATA,2008,
2208,ATA,2009,
2209,ATA,2010,
2210,ATA,2011,
2211,ATA,2012,
2212,ATA,2013,
2213,ATA,2014,
2214,ATA,2015,
2215,ATA,2016,
2216,ATA,2017,
2217,ATA,2018,
2218,ATA,2019,
2219,ATA,2020,
2220,ATA,2021,
2221,ATA,2022,
2222,ATG,1961,47632.0
2223,ATG,1962,102592.0
2224,ATG,1963,84272.0
2225,ATG,1964,91600.0
2226,ATG,1965,150224.0
2227,ATG,1966,348080.0
2228,ATG,1967,564256.0
2229,ATG,1968,989280.0
2230,ATG,1969,1256752.0
2231,ATG,1970,461664.0
2232,ATG,1971,425024.0
2233,ATG,1972,373728.0
2234,ATG,1973,329760.0
2235,ATG,1974,428688.0
2236,ATG,1975,707152.0
2237,ATG,1976,403040.0
2238,ATG,1977,465328.0
2239,ATG,1978,490976.0
2240,ATG,1979,406704.0
2241,ATG,1980,142896.0
2242,ATG,1981,106256.0
2243,ATG,1982,293120.0
2244,ATG,1983,84272.0
2245,ATG,1984,146560.0
2246,ATG,1985,249152.0
2247,ATG,1986,249152.0
2248,ATG,1987,274800.0
2249,ATG,1988,285792.0
2250,ATG,1989,285792.0
2251,ATG,1990,241824.0
2252,ATG,1991,249152.0
2253,ATG,1992,249152.0
2254,ATG,1993,256480.02
2255,ATG,1994,267472.0
2256,ATG,1995,271136.0
2257,ATG,1996,289456.0
2258,ATG,1997,311440.0
2259,ATG,1998,322432.0
2260,ATG,1999,344416.0
2261,ATG,2000,355408.0
2262,ATG,2001,370064.0
2263,ATG,2002,406704.0
2264,ATG,2003,428688.0
2265,ATG,2004,450672.0
2266,ATG,2005,479984.0
2267,ATG,2006,516623.97
2268,ATG,2007,534944.0
2269,ATG,2008,538608.0
2270,ATG,2009,556928.0
2271,ATG,2010,549600.0
2272,ATG,2011,545936.0
2273,ATG,2012,556928.0
2274,ATG,2013,556928.0
2275,ATG,2014,567920.0
2276,ATG,2015,582576.0
2277,ATG,2016,597232.0
2278,ATG,2017,604560.0
2279,ATG,2018,615552.0
2280,ATG,2019,641200.0
2281,ATG,2020,619216.0
2282,ATG,2021,596693.0
2283,ATG,2022,602192.0
2284,ARG,1961,51126708.0
2285,ARG,1962,53640124.0
2286,ARG,1963,50032660.0
2287,ARG,1964,55670040.0
2288,ARG,1965,58804852.0
2289,ARG,1966,63072668.0
2290,ARG,1967,65475984.0
2291,ARG,1968,69009220.0
2292,ARG,1969,77248870.0
2293,ARG,1970,82648000.0
2294,ARG,1971,88847130.0
2295,ARG,1972,90066640.0
2296,ARG,1973,93975900.0
2297,ARG,1974,95480376.0
2298,ARG,1975,94845480.0
2299,ARG,1976,99699160.0
2300,ARG,1977,100705870.0
2301,ARG,1978,102555590.0
2302,ARG,1979,110616140.0
2303,ARG,1980,108656130.0
2304,ARG,1981,101968540.0
2305,ARG,1982,103351140.0
2306,ARG,1983,105142040.0
2307,ARG,1984,106451700.0
2308,ARG,1985,100531220.0
2309,ARG,1986,104150060.0
2310,ARG,1987,114877224.0
2311,ARG,1988,121404740.0
2312,ARG,1989,117020424.0
2313,ARG,1990,112079090.0
2314,ARG,1991,117505740.0
2315,ARG,1992,121230584.0
2316,ARG,1993,117777490.0
2317,ARG,1994,118469420.0
2318,ARG,1995,125239784.0
2319,ARG,1996,131134840.0
2320,ARG,1997,136523740.0
2321,ARG,1998,139005000.0
2322,ARG,1999,147673550.0
2323,ARG,2000,142765220.0
2324,ARG,2001,134422270.0
2325,ARG,2002,124454620.0
2326,ARG,2003,133993820.0
2327,ARG,2004,156712420.0
2328,ARG,2005,161189180.0
2329,ARG,2006,174209920.0
2330,ARG,2007,173482060.0
2331,ARG,2008,187243460.0
2332,ARG,2009,178110960.0
2333,ARG,2010,185854340.0
2334,ARG,2011,189676100.0
2335,ARG,2012,191292110.0
2336,ARG,2013,189537740.0
2337,ARG,2014,188396530.0
2338,ARG,2015,191743840.0
2339,ARG,2016,189920450.0
2340,ARG,2017,186898880.0
2341,ARG,2018,180599310.0
2342,ARG,2019,178511620.0
2343,ARG,2020,166879580.0
2344,ARG,2021,189744130.0
2345,ARG,2022,192864430.0
2346,ARM,1961,3256154.0
2347,ARM,1962,3422601.0
2348,ARM,1963,3675326.0
2349,ARM,1964,3912899.0
2350,ARM,1965,4152766.2
2351,ARM,1966,4387287.0
2352,ARM,1967,4592712.0
2353,ARM,1968,4727059.0
2354,ARM,1969,4926960.0
2355,ARM,1970,5180804.0
2356,ARM,1971,5507856.0
2357,ARM,1972,5802025.0
2358,ARM,1973,6055597.0
2359,ARM,1974,6295421.0
2360,ARM,1975,6624855.0
2361,ARM,1976,6881780.0
2362,ARM,1977,7118719.0
2363,ARM,1978,7368149.0
2364,ARM,1979,7428925.0
2365,ARM,1980,7719751.0
2366,ARM,1981,7585534.0
2367,ARM,1982,7729933.0
2368,ARM,1983,7845646.0
2369,ARM,1984,7919893.0
2370,ARM,1985,8534360.0
2371,ARM,1986,8064167.0
2372,ARM,1987,8189549.5
2373,ARM,1988,9290236.0
2374,ARM,1989,9462471.0
2375,ARM,1990,8947546.0
2376,ARM,1991,7307800.0
2377,ARM,1992,5723698.0
2378,ARM,1993,2510247.0
2379,ARM,1994,2684702.0
2380,ARM,1995,3362694.0
2381,ARM,1996,2500312.0
2382,ARM,1997,3252761.0
2383,ARM,1998,3419094.0
2384,ARM,1999,3040204.0
2385,ARM,2000,3491407.0
2386,ARM,2001,3532701.0
2387,ARM,2002,3076793.0
2388,ARM,2003,3455560.0
2389,ARM,2004,3691197.0
2390,ARM,2005,4376169.0
2391,ARM,2006,4401590.0
2392,ARM,2007,5100210.0
2393,ARM,2008,5574790.0
2394,ARM,2009,4363332.0
2395,ARM,2010,4252750.0
2396,ARM,2011,4968878.0
2397,ARM,2012,5748252.0
2398,ARM,2013,5535004.0
2399,ARM,2014,5604113.0
2400,ARM,2015,5469323.0
2401,ARM,2016,5203013.0
2402,ARM,2017,5540153.0
2403,ARM,2018,5825786.0
2404,ARM,2019,6284110.0
2405,ARM,2020,6799022.0
2406,ARM,2021,7064143.0
2407,ARM,2022,6407760.0
2408,ABW,1961,645553.0
2409,ABW,1962,708942.0
2410,ABW,1963,679088.0
2411,ABW,1964,660275.0
2412,ABW,1965,592387.0
2413,ABW,1966,553944.0
2414,ABW,1967,682359.0
2415,ABW,1968,634510.0
2416,ABW,1969,830405.0
2417,ABW,1970,928761.0
2418,ABW,1971,808321.0
2419,ABW,1972,783783.0
2420,ABW,1973,869461.0
2421,ABW,1974,788077.0
2422,ABW,1975,570712.0
2423,ABW,1976,1219127.0
2424,ABW,1977,636760.0
2425,ABW,1978,542289.0
2426,ABW,1979,568871.0
2427,ABW,1980,585435.0
2428,ABW,1981,557625.0
2429,ABW,1982,623468.0
2430,ABW,1983,320425.0
2431,ABW,1984,800142.0
2432,ABW,1985,936532.0
2433,ABW,1986,179536.0
2434,ABW,1987,447008.0
2435,ABW,1988,611888.0
2436,ABW,1989,648528.0
2437,ABW,1990,487312.0
2438,ABW,1991,531280.0
2439,ABW,1992,538608.0
2440,ABW,1993,648528.0
2441,ABW,1994,659520.0
2442,ABW,1995,707152.0
2443,ABW,1996,725472.0
2444,ABW,1997,758448.0
2445,ABW,1998,806080.0
2446,ABW,1999,809744.0
2447,ABW,2000,2377936.0
2448,ABW,2001,2407248.0
2449,ABW,2002,2436560.0
2450,ABW,2003,2561136.0
2451,ABW,2004,2616096.0
2452,ABW,2005,2718688.0
2453,ABW,2006,2715024.0
2454,ABW,2007,2821280.0
2455,ABW,2008,2656400.0
2456,ABW,2009,2627088.0
2457,ABW,2010,2506176.0
2458,ABW,2011,2498848.0
2459,ABW,2012,1348352.0
2460,ABW,2013,861040.0
2461,ABW,2014,872032.0
2462,ABW,2015,897680.0
2463,ABW,2016,883024.0
2464,ABW,2017,890352.0
2465,ABW,2018,872032.0
2466,ABW,2019,890352.0
2467,ABW,2020,890352.0
2468,ABW,2021,857967.0
2469,ABW,2022,865874.0
2470,AUS,1961,87009520.0
2471,AUS,1962,90908610.0
2472,AUS,1963,95995810.0
2473,AUS,1964,103544750.0
2474,AUS,1965,113604900.0
2475,AUS,1966,115736220.0
2476,AUS,1967,122280584.0
2477,AUS,1968,128768060.0
2478,AUS,1969,136413540.0
2479,AUS,1970,147861020.0
2480,AUS,1971,151116060.0
2481,AUS,1972,153598260.0
2482,AUS,1973,170143800.0
2483,AUS,1974,166182740.0
2484,AUS,1975,173101520.0
2485,AUS,1976,169803060.0
2486,AUS,1977,181914660.0
2487,AUS,1978,191051580.0
2488,AUS,1979,192321940.0
2489,AUS,1980,204370200.0
2490,AUS,1981,213809920.0
2491,AUS,1982,218000900.0
2492,AUS,1983,207645390.0
2493,AUS,1984,217516260.0
2494,AUS,1985,224555890.0
2495,AUS,1986,224040290.0
2496,AUS,1987,234599840.0
2497,AUS,1988,240737040.0
2498,AUS,1989,256836640.0
2499,AUS,1990,278160300.0
2500,AUS,1991,279534000.0
2501,AUS,1992,284528770.0
2502,AUS,1993,288873500.0
2503,AUS,1994,293700930.0
2504,AUS,1995,305055580.0
2505,AUS,1996,311940480.0
2506,AUS,1997,320332770.0
2507,AUS,1998,334135550.0
2508,AUS,1999,343959200.0
2509,AUS,2000,350007680.0
2510,AUS,2001,357783400.0
2511,AUS,2002,362536540.0
2512,AUS,2003,369441730.0
2513,AUS,2004,382873440.0
2514,AUS,2005,386205380.0
2515,AUS,2006,392436350.0
2516,AUS,2007,399676260.0
2517,AUS,2008,404255700.0
2518,AUS,2009,407477150.0
2519,AUS,2010,405512200.0
2520,AUS,2011,404256770.0
2521,AUS,2012,406579740.0
2522,AUS,2013,399288030.0
2523,AUS,2014,393049380.0
2524,AUS,2015,401378370.0
2525,AUS,2016,410253600.0
2526,AUS,2017,413655460.0
2527,AUS,2018,415350720.0
2528,AUS,2019,415811260.0
2529,AUS,2020,396685200.0
2530,AUS,2021,386606940.0
2531,AUS,2022,392279260.0
2532,AUT,1961,31824046.0
2533,AUT,1962,33864984.0
2534,AUT,1963,36949060.0
2535,AUT,1964,38896436.0
2536,AUT,1965,38140550.0
2537,AUT,1966,39208596.0
2538,AUT,1967,39915572.0
2539,AUT,1968,42297140.0
2540,AUT,1969,44638410.0
2541,AUT,1970,50631700.0
2542,AUT,1971,52069100.0
2543,AUT,1972,56071172.0
2544,AUT,1973,60015524.0
2545,AUT,1974,57294164.0
2546,AUT,1975,54213684.0
2547,AUT,1976,58203790.0
2548,AUT,1977,55993692.0
2549,AUT,1978,57226484.0
2550,AUT,1979,61321330.0
2551,AUT,1980,52024932.0
2552,AUT,1981,55832892.0
2553,AUT,1982,53565290.0
2554,AUT,1983,51668240.0
2555,AUT,1984,54214052.0
2556,AUT,1985,54366320.0
2557,AUT,1986,53728532.0
2558,AUT,1987,57373910.0
2559,AUT,1988,52937220.0
2560,AUT,1989,53696290.0
2561,AUT,1990,62167160.0
2562,AUT,1991,65765656.0
2563,AUT,1992,60266150.0
2564,AUT,1993,60692130.0
2565,AUT,1994,61066644.0
2566,AUT,1995,64044060.0
2567,AUT,1996,67388560.0
