,Area,Item,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,Afghanistan,All sectors with LULUCF,21567.4748,21798.4906,22517.5342,22908.195,23435.1634,24273.0112,24479.2882,25252.291,25083.3176,25316.2592,25097.9572,20525.252,21788.5466,23315.0996,24946.6276,25491.9646,24921.7824,24799.967,24208.0792,24203.9538,24160.0346,24154.1718,22778.7198,20476.6308,18332.727,15092.1506,16310.2648,17127.537,16902.7742,21720.7088,22269.2114,20388.791400000002,20712.4628,21068.5174,22250.435699999998,24588.0442,26670.5338,28402.9526,30384.6671,26881.221,28646.213499999998,34427.5812,35822.1536,35365.4338,37271.95970000001,38257.412,40181.570900000006,47212.5442,53790.0436,61906.5864,69946.59419999999,66094.0166,62816.2713,62887.1854,61790.413,60514.9882,61179.8808,62654.2032,63783.952,64442.8529,65126.7019
1,Afghanistan,All sectors without LULUCF,21567.4748,21798.4906,22517.5342,22908.195,23435.1634,24273.0112,24479.2882,25252.291,25083.3176,25316.2592,25097.9572,20525.252,21788.5466,23315.0996,24946.6276,25491.9646,24921.7824,24799.967,24208.0792,24203.9538,24160.0346,24154.1718,22778.7198,20476.6308,18332.727,15092.1506,16310.2648,17127.537,16902.7742,26498.189,27046.6916,25166.2715,25489.943,25845.9977,27027.9159,29365.228,31447.877,33179.921,35162.1025,31657.4148,28402.4103,34183.778,35578.350399999996,35121.6305,37028.1565,38013.6088,39937.767700000004,46968.740999999995,53546.2404,61662.7832,70439.0324,66586.4548,63308.709500000004,63379.6236,62282.851200000005,60205.6734,60870.566,62344.888399999996,63474.6372,64133.538100000005,64817.3871
2,Afghanistan,LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-4777.4802,-4777.4802,-4777.4802,-4777.4802,-4777.4802,-4777.4802,-4777.1838,-4777.343199999999,-4776.9684,-4777.4354,-4776.1938,243.8032,243.8032,243.8032,243.8032,18926.063199999997,243.8032,243.8032,243.8032,243.8032,243.8032,-492.4382,-492.4382,20599.5618,-492.4382,-492.4382,309.3148,309.3148,309.3148,309.3148,309.3148,309.3148
3,Africa,All sectors with LULUCF,529305.1592,539165.2178,548484.9006,563954.7734,580040.8252,590528.91,612442.34,631109.9266,643740.661,654723.4274,665018.2738,668387.6292,668878.1242,673796.5954,690323.5622,699740.551,717033.0318,738967.264,757709.7404,769474.4662,781172.4082,796840.415,801315.7536,786184.0754,799260.1562,815280.8678,817246.135,837896.5216,866372.9686,6150005.800100001,6259261.8054,6255205.1168,6362371.8395,6520022.6305,6770034.3635,6894027.7146,6939896.5343,7109946.424,7066820.4392,7218873.0307,7176124.7656,7162031.859,7554523.8158,7720456.5678,7924686.9547,7933844.8133000005,8069500.5414,8258822.96,8206538.8389,8423806.3041,8913800.6982,9020454.8586,9055181.6131,9249086.7253,9238323.7566,9463143.8267,9638223.7207,9710518.8803,9849402.4262,9707192.765,9908685.9119
4,Africa,All sectors without LULUCF,529305.1592,539165.2178,548484.9006,563954.7734,580040.8252,590528.91,612442.34,631109.9266,643740.661,654723.4274,665018.2738,668387.6292,668878.1242,673796.5954,690323.5622,699740.551,717033.0318,738967.264,757709.7404,769474.4662,781172.4082,796840.415,801315.7536,786184.0754,799260.1562,815280.8678,817246.135,837896.5216,866372.9686,3972969.1621000003,4082225.1674,4078168.4788,4185336.0235,4342993.8553,4591594.2681,4787073.2217999995,4799084.6483,4899618.2614,4879470.931,5097634.8883,4985649.4862,4977406.2352,5299993.022,5475510.131,5645147.8511,5688642.5065,5820379.379,5996277.8656,5969790.5243,6131099.329500001,6209807.6502,6312582.7151999995,6369602.706900001,6580625.1375,6553315.028,6684861.0067,6862306.1461000005,6967402.1633,7099368.8576,6972982.4374,7188820.1113
5,Africa,LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2177036.638,2177036.638,2177036.638,2177035.816,2177028.7752,2178440.0954,2106954.4928,2140811.886,2210328.1626,2187349.5082,2121238.1424,2190475.2794,2184625.6238,2254530.7938,2244946.4368000003,2279539.1036,2245202.3068,2249121.1624,2262545.0944,2236748.3146,2292706.9746,2703993.048,2707872.1434,2685578.9062,2668461.5878,2685008.7286,2778282.82,2775917.5746,2743116.717,2750033.5686,2734210.3276,2719865.8005999997
6,Albania,All sectors with LULUCF,4440.8774,4475.4582,4444.7878,4475.418,4786.529,4785.002,4883.4566,4656.4148000000005,4544.3908,4587.07,4508.6312,4437.4718,4573.429,4717.927,4771.0488,5147.9726,5396.7156,5947.8144,6160.0826,6310.7452,6473.5284,6511.1198,6637.0808,6667.6252,6439.6882,6681.5362,7012.755,7369.0108,7621.8508,23215.906,20122.7396,14410.1459,14536.3506,15434.9998,15525.0383,14704.2117,13126.0022,13295.3501,15885.7518,16294.7532,13734.3021,15011.483100000001,16263.481899999999,15778.735499999999,15968.087500000001,15085.373500000002,14851.3601,15268.8773,14991.5976,15844.307,17460.0999,16656.8565,17541.0984,19210.477700000003,16846.1312,17918.3073,19886.8826,18747.6716,18370.1928,18044.0622,17283.1546
7,Albania,All sectors without LULUCF,4440.8774,4475.4582,4444.7878,4475.418,4786.529,4785.002,4883.4566,4656.4148000000005,4544.3908,4587.07,4508.6312,4437.4718,4573.429,4717.927,4771.0488,5147.9726,5396.7156,5947.8144,6160.0826,6310.7452,6473.5284,6511.1198,6637.0808,6667.6252,6439.6882,6681.5362,7012.755,7369.0108,7621.8508,22834.3218,19741.1554,14028.5617,14154.7664,15053.4156,15143.454099999999,14310.6911,12692.9688,12895.9347,15492.6296,15772.925,15979.882300000001,17257.0633,18507.0841,18024.4525,18213.8045,17331.0905,17066.8955,17514.5943,17234.4552,18091.3308,19154.4695,18348.9061,19244.8612,20914.2405,18549.0752,18402.589500000002,20367.6514,19236.5286,18862.6686,18536.828,17760.5864
8,Albania,LULUCF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7336.0842,7417.184200000001,4380.7442,3370.3442000000005,3945.1041999999998,3383.7042,3255.5206,3037.2533999999996,2559.3354,2182.1621999999998,7127.8282,2768.4198,1866.4198000000001,1194.3978000000002,1332.283,1184.283,1030.283,1020.4645999999998,112.2829999999999,-420.85760000000005,-2247.0238,-1694.3696,-1692.0496,-1703.7628,-1703.7628,-1702.944,-484.2822,-480.7688,-488.857,-492.4758,-492.7658,-477.4318
9,Algeria,All sectors with LULUCF,6670.7672,6527.037,5763.4036,6044.2912,7090.4122,7234.2398,8607.577,9136.832,9441.5042,9758.359,10187.7104,10611.374,10286.845,10479.0792,10933.695,10792.9366,11535.69,12185.0254,13352.272,14348.4746,14216.8298,14718.3826,15399.6268,15353.8566,15648.6512,15499.1786,15557.3294,15035.9888,15576.2518,310464.21700000006,314543.0791,309056.4498,332807.0968,338862.0996,367012.7921,378692.3986,351100.659,389344.7297,366153.4817,373801.3212,337459.3647,342136.0895,359874.4036,350288.6775,390581.7143,385916.04780000006,396307.1448,403423.15630000003,412608.9189,418779.74340000004,425967.8762,447905.6214,473603.8942,504934.6004,526116.326,533881.6954999999,543528.9313,563943.2778,572978.1642,549995.3952,556617.1502
