,country_code,ano,uso_total_de_fertilizantes(t)
0,AFG,1961,1100.0
1,AFG,1962,1100.0
2,AFG,1963,1100.0
3,AFG,1964,1100.0
4,AFG,1965,1100.0
5,AFG,1966,1500.0
6,AFG,1967,10000.0
7,AFG,1968,15000.0
8,AFG,1969,17000.0
9,AFG,1970,19400.0
10,AFG,1971,20500.0
11,AFG,1972,29110.0
12,AFG,1973,24600.0
13,AFG,1974,33900.0
14,AFG,1975,36384.0
15,AFG,1976,44236.0
16,AFG,1977,54226.0
17,AFG,1978,53669.0
18,AFG,1979,49739.0
19,AFG,1980,51126.0
20,AFG,1981,45711.0
21,AFG,1982,52783.0
22,AFG,1983,56580.0
23,AFG,1984,72600.0
24,AFG,1985,72962.0
25,AFG,1986,67280.0
26,AFG,1987,79020.0
27,AFG,1988,55730.0
28,AFG,1989,55600.0
29,AFG,1990,44500.0
30,AFG,1991,48600.0
31,AFG,1992,45800.0
32,AFG,1993,40000.0
33,AFG,1994,
34,AFG,1995,
35,AFG,1996,5000.0
36,AFG,1997,5000.0
37,AFG,1998,7000.0
38,AFG,1999,5000.0
39,AFG,2000,5000.0
40,AFG,2001,18400.0
41,AFG,2002,24526.53
42,AFG,2003,27035.260000000002
43,AFG,2004,33169.369999999995
44,AFG,2005,29774.39
45,AFG,2006,24869.52
46,AFG,2007,16377.29
47,AFG,2008,14432.03
48,AFG,2009,14712.109999999999
49,AFG,2010,13854.86
50,AFG,2011,29816.2
51,AFG,2012,18523.47
52,AFG,2013,38011.93
53,AFG,2014,79000.86
54,AFG,2015,103464.68000000001
55,AFG,2016,105733.85
56,AFG,2017,157464.02000000002
57,AFG,2018,135243.27
58,AFG,2019,85453.83
59,AFG,2020,68225.78
60,AFG,2021,40730.94
61,AFG,2022,39576.08
62,ALB,1961,6302.0
63,ALB,1962,5200.0
64,ALB,1963,5300.0
65,ALB,1964,6400.0
66,ALB,1965,8000.0
67,ALB,1966,9500.0
68,ALB,1967,15500.0
69,ALB,1968,37000.0
70,ALB,1969,36000.0
71,ALB,1970,44100.0
72,ALB,1971,53800.0
73,ALB,1972,55600.0
74,ALB,1973,58100.0
75,ALB,1974,63900.0
76,ALB,1975,62500.0
77,ALB,1976,72000.0
78,ALB,1977,78700.0
79,ALB,1978,99900.0
80,ALB,1979,98100.0
81,ALB,1980,93700.0
82,ALB,1981,81400.0
83,ALB,1982,106000.0
84,ALB,1983,102700.0
85,ALB,1984,94000.0
86,ALB,1985,94100.0
87,ALB,1986,96300.0
88,ALB,1987,95000.0
89,ALB,1988,96500.0
90,ALB,1989,106500.0
91,ALB,1990,102000.0
92,ALB,1991,31300.0
93,ALB,1992,23500.0
94,ALB,1993,17890.0
95,ALB,1994,14770.0
96,ALB,1995,11000.0
97,ALB,1996,6500.0
98,ALB,1997,5200.0
99,ALB,1998,25000.0
100,ALB,1999,10600.0
101,ALB,2000,18700.0
102,ALB,2001,18700.0
103,ALB,2002,56404.0
104,ALB,2003,57406.71
105,ALB,2004,58555.64
106,ALB,2005,60457.92
107,ALB,2006,50108.64
108,ALB,2007,51106.74
109,ALB,2008,47158.94
110,ALB,2009,55040.42
111,ALB,2010,53224.979999999996
112,ALB,2011,60604.119999999995
113,ALB,2012,57614.409999999996
114,ALB,2013,54410.380000000005
115,ALB,2014,54410.3
116,ALB,2015,66327.0
117,ALB,2016,78243.70000000001
118,ALB,2017,61082.86
119,ALB,2018,40706.52
120,ALB,2019,57607.99
121,ALB,2020,60816.340000000004
122,ALB,2021,
123,ALB,2022,22971.73
124,DZA,1961,49000.0
125,DZA,1962,55000.0
126,DZA,1963,53000.0
127,DZA,1964,52500.0
128,DZA,1965,39054.0
129,DZA,1966,51300.0
130,DZA,1967,51530.0
131,DZA,1968,68000.0
132,DZA,1969,70000.0
133,DZA,1970,111000.0
134,DZA,1971,179000.0
135,DZA,1972,215000.0
136,DZA,1973,188000.0
137,DZA,1974,171000.0
138,DZA,1975,123000.0
139,DZA,1976,166000.0
140,DZA,1977,141017.0
141,DZA,1978,178107.0
142,DZA,1979,169852.0
143,DZA,1980,235700.0
144,DZA,1981,166100.0
145,DZA,1982,131339.0
146,DZA,1983,154900.0
147,DZA,1984,203935.0
148,DZA,1985,280632.0
149,DZA,1986,271660.0
150,DZA,1987,241200.0
151,DZA,1988,146500.0
152,DZA,1989,117000.0
153,DZA,1990,127000.0
154,DZA,1991,91500.0
155,DZA,1992,96800.0
156,DZA,1993,130900.0
157,DZA,1994,119300.0
158,DZA,1995,46400.0
159,DZA,1996,38000.0
160,DZA,1997,97000.0
161,DZA,1998,108000.0
162,DZA,1999,93000.0
163,DZA,2000,92300.0
164,DZA,2001,105300.0
165,DZA,2002,72765.0
166,DZA,2003,45031.0
167,DZA,2004,188038.0
168,DZA,2005,55806.0
169,DZA,2006,99072.0
170,DZA,2007,111748.0
171,DZA,2008,64231.0
172,DZA,2009,107000.0
173,DZA,2010,118500.0
174,DZA,2011,118300.0
175,DZA,2012,160100.0
176,DZA,2013,168300.0
177,DZA,2014,190500.0
178,DZA,2015,175600.0
179,DZA,2016,155700.0
180,DZA,2017,155700.0
181,DZA,2018,155700.0
182,DZA,2019,155700.0
183,DZA,2020,155700.0
184,DZA,2021,155700.0
185,DZA,2022,155700.0
186,AGO,1961,1000.0
187,AGO,1962,1000.0
188,AGO,1963,1400.0
189,AGO,1964,2100.0
190,AGO,1965,4000.0
191,AGO,1966,5200.0
192,AGO,1967,6700.0
193,AGO,1968,7600.0
194,AGO,1969,10500.0
195,AGO,1970,11300.0
196,AGO,1971,25000.0
197,AGO,1972,22300.0
198,AGO,1973,21400.0
199,AGO,1974,15100.0
200,AGO,1975,4100.0
201,AGO,1976,2100.0
202,AGO,1977,31600.0
203,AGO,1978,23500.0
204,AGO,1979,13700.0
205,AGO,1980,16800.0
206,AGO,1981,12100.0
207,AGO,1982,5000.0
208,AGO,1983,8600.0
209,AGO,1984,6991.0
210,AGO,1985,20343.0
211,AGO,1986,12000.0
212,AGO,1987,10300.0
213,AGO,1988,15909.0
214,AGO,1989,23601.0
215,AGO,1990,9500.0
216,AGO,1991,6900.0
217,AGO,1992,9100.0
218,AGO,1993,8000.0
219,AGO,1994,10000.0
220,AGO,1995,8000.0
221,AGO,1996,6000.0
222,AGO,1997,2000.0
223,AGO,1998,3400.0
224,AGO,1999,3400.0
225,AGO,2000,1400.0
226,AGO,2001,
227,AGO,2002,5143.0
228,AGO,2003,5903.0
229,AGO,2004,14855.0
230,AGO,2005,7460.0
231,AGO,2006,12078.0
232,AGO,2007,11237.0
233,AGO,2008,28080.0
234,AGO,2009,21889.0
235,AGO,2010,34563.0
236,AGO,2011,56324.0
237,AGO,2012,41717.43
238,AGO,2013,45393.39
239,AGO,2014,45371.0
240,AGO,2015,39436.84
241,AGO,2016,35482.22
242,AGO,2017,52305.94
243,AGO,2018,38053.729999999996
244,AGO,2019,35676.95
245,AGO,2020,42134.53
246,AGO,2021,30125.63
247,AGO,2022,71236.88
248,ATG,1961,
249,ATG,1962,
250,ATG,1963,
251,ATG,1964,
252,ATG,1965,
253,ATG,1966,
254,ATG,1967,
255,ATG,1968,
256,ATG,1969,
257,ATG,1970,
258,ATG,1971,
259,ATG,1972,
260,ATG,1973,
261,ATG,1974,
262,ATG,1975,
263,ATG,1976,
264,ATG,1977,
265,ATG,1978,
266,ATG,1979,
267,ATG,1980,
268,ATG,1981,
269,ATG,1982,
270,ATG,1983,
271,ATG,1984,
272,ATG,1985,
273,ATG,1986,
274,ATG,1987,
275,ATG,1988,
276,ATG,1989,
277,ATG,1990,
278,ATG,1991,
279,ATG,1992,
280,ATG,1993,
281,ATG,1994,
282,ATG,1995,
283,ATG,1996,
284,ATG,1997,
285,ATG,1998,
286,ATG,1999,
287,ATG,2000,
288,ATG,2001,
289,ATG,2002,52.0
290,ATG,2003,109.0
291,ATG,2004,30.0
292,ATG,2005,24.0
293,ATG,2006,18.0
294,ATG,2007,2.0
295,ATG,2008,14.0
296,ATG,2009,53.0
297,ATG,2010,12.0
298,ATG,2011,13.0
299,ATG,2012,39.39
300,ATG,2013,50.12
301,ATG,2014,31.810000000000002
302,ATG,2015,21.06
303,ATG,2016,72.85
304,ATG,2017,21.05
305,ATG,2018,13.87
306,ATG,2019,41.089999999999996
307,ATG,2020,34.940000000000005
308,ATG,2021,33.33
309,ATG,2022,29.32
310,ARG,1961,16241.0
311,ARG,1962,12711.0
312,ARG,1963,21080.0
313,ARG,1964,29500.0
314,ARG,1965,40500.0
315,ARG,1966,52568.0
316,ARG,1967,68460.0
317,ARG,1968,67666.0
318,ARG,1969,79554.0
319,ARG,1970,87036.0
320,ARG,1971,77100.0
321,ARG,1972,86200.0
322,ARG,1973,83243.0
323,ARG,1974,75100.0
324,ARG,1975,60300.0
325,ARG,1976,78229.0
326,ARG,1977,74305.0
327,ARG,1978,107075.0
328,ARG,1979,130082.0
329,ARG,1980,115568.0
330,ARG,1981,96475.0
331,ARG,1982,106700.0
332,ARG,1983,118500.0
333,ARG,1984,158500.0
334,ARG,1985,162600.0
335,ARG,1986,151144.0
336,ARG,1987,167900.0
337,ARG,1988,162500.0
