,country_code,ano,uso_total_de_fertilizantes(t)
0,ALB,1961,
1,ALB,1962,
2,ALB,1963,
3,ALB,1964,
4,ALB,1965,
5,ALB,1966,
6,ALB,1967,
7,ALB,1968,
8,ALB,1969,
9,ALB,1970,
10,ALB,1971,
11,ALB,1972,
12,ALB,1973,
13,ALB,1974,
14,ALB,1975,
15,ALB,1976,
16,ALB,1977,
17,ALB,1978,
18,ALB,1979,
19,ALB,1980,
20,ALB,1981,
21,ALB,1982,
22,ALB,1983,
23,ALB,1984,
24,ALB,1985,
25,ALB,1986,
26,ALB,1987,
27,ALB,1988,
28,ALB,1989,
29,ALB,1990,121.0
30,ALB,1991,121.0
31,ALB,1992,121.0
32,ALB,1993,121.0
33,ALB,1994,201.0
34,ALB,1995,251.0
35,ALB,1996,262.4
36,ALB,1997,273.79
37,ALB,1998,285.19
38,ALB,1999,296.59
39,ALB,2000,307.98
40,ALB,2001,319.38
41,ALB,2002,330.78
42,ALB,2003,342.17
43,ALB,2004,353.57
44,ALB,2005,364.97
45,ALB,2006,376.36
46,ALB,2007,387.76
47,ALB,2008,399.16
48,ALB,2009,410.55
49,ALB,2010,590.5
50,ALB,2011,582.68
51,ALB,2012,361.62
52,ALB,2013,450.6
53,ALB,2014,457.47
54,ALB,2015,538.24
55,ALB,2016,584.49
56,ALB,2017,614.91
57,ALB,2018,442.35
58,ALB,2019,746.36
59,ALB,2020,401.58
60,ALB,2021,433.3
61,ALB,2022,295.61
62,DZA,1961,
63,DZA,1962,
64,DZA,1963,
65,DZA,1964,
66,DZA,1965,
67,DZA,1966,
68,DZA,1967,
69,DZA,1968,
70,DZA,1969,
71,DZA,1970,
72,DZA,1971,
73,DZA,1972,
74,DZA,1973,
75,DZA,1974,
76,DZA,1975,
77,DZA,1976,
78,DZA,1977,
79,DZA,1978,
80,DZA,1979,
81,DZA,1980,
82,DZA,1981,
83,DZA,1982,
84,DZA,1983,
85,DZA,1984,
86,DZA,1985,
87,DZA,1986,
88,DZA,1987,
89,DZA,1988,
90,DZA,1989,
91,DZA,1990,5743.46
92,DZA,1991,7094.39
93,DZA,1992,3876.18
94,DZA,1993,3710.0
95,DZA,1994,4058.62
96,DZA,1995,6255.63
97,DZA,1996,2190.88
98,DZA,1997,1822.16
99,DZA,1998,1498.96
100,DZA,1999,2228.17
101,DZA,2000,2537.4
102,DZA,2001,2846.64
103,DZA,2002,3155.87
104,DZA,2003,3465.11
105,DZA,2004,3774.35
106,DZA,2005,2810.61
107,DZA,2006,2504.01
108,DZA,2007,3562.52
109,DZA,2008,5720.11
110,DZA,2009,3168.41
111,DZA,2010,1869.58
112,DZA,2011,7612.21
113,DZA,2012,8980.17
114,DZA,2013,8269.57
115,DZA,2014,7151.52
116,DZA,2015,4516.93
117,DZA,2016,4153.38
118,DZA,2017,6067.35
119,DZA,2018,6067.35
120,DZA,2019,6067.35
121,DZA,2020,6067.35
122,DZA,2021,6067.35
123,DZA,2022,6067.35
124,AGO,1961,
125,AGO,1962,
126,AGO,1963,
127,AGO,1964,
128,AGO,1965,
129,AGO,1966,
130,AGO,1967,
131,AGO,1968,
132,AGO,1969,
133,AGO,1970,
134,AGO,1971,
135,AGO,1972,
136,AGO,1973,
137,AGO,1974,
138,AGO,1975,
139,AGO,1976,
140,AGO,1977,
141,AGO,1978,
142,AGO,1979,
143,AGO,1980,
144,AGO,1981,
145,AGO,1982,
146,AGO,1983,
147,AGO,1984,
148,AGO,1985,
149,AGO,1986,
150,AGO,1987,
151,AGO,1988,
152,AGO,1989,
153,AGO,1990,64.0
154,AGO,1991,79.0
155,AGO,1992,23.0
156,AGO,1993,169.0
157,AGO,1994,89.5
158,AGO,1995,336.0
159,AGO,1996,40.0
160,AGO,1997,40.0
161,AGO,1998,40.0
162,AGO,1999,40.0
163,AGO,2000,40.0
164,AGO,2001,40.0
165,AGO,2002,40.0
166,AGO,2003,40.0
167,AGO,2004,40.0
168,AGO,2005,40.0
169,AGO,2006,40.0
170,AGO,2007,40.0
171,AGO,2008,40.0
172,AGO,2009,40.0
173,AGO,2010,40.0
174,AGO,2011,40.0
175,AGO,2012,40.0
176,AGO,2013,40.0
177,AGO,2014,40.0
178,AGO,2015,40.0
179,AGO,2016,40.0
180,AGO,2017,40.0
181,AGO,2018,40.0
182,AGO,2019,40.0
183,AGO,2020,40.0
184,AGO,2021,40.0
185,AGO,2022,40.0
186,ATG,1961,
187,ATG,1962,
188,ATG,1963,
189,ATG,1964,
190,ATG,1965,
191,ATG,1966,
192,ATG,1967,
193,ATG,1968,
194,ATG,1969,
195,ATG,1970,
196,ATG,1971,
197,ATG,1972,
198,ATG,1973,
199,ATG,1974,
200,ATG,1975,
201,ATG,1976,
202,ATG,1977,
203,ATG,1978,
204,ATG,1979,
205,ATG,1980,
206,ATG,1981,
207,ATG,1982,
208,ATG,1983,
209,ATG,1984,
210,ATG,1985,
211,ATG,1986,
212,ATG,1987,
213,ATG,1988,
214,ATG,1989,
215,ATG,1990,289.45
216,ATG,1991,289.45
217,ATG,1992,289.45
218,ATG,1993,289.45
219,ATG,1994,289.45
220,ATG,1995,289.45
221,ATG,1996,289.45
222,ATG,1997,289.45
223,ATG,1998,289.45
224,ATG,1999,265.94
225,ATG,2000,260.2
226,ATG,2001,272.21
227,ATG,2002,325.49
228,ATG,2003,378.77
229,ATG,2004,432.05
230,ATG,2005,410.49
231,ATG,2006,347.26
232,ATG,2007,291.81
233,ATG,2008,318.99
234,ATG,2009,379.81
235,ATG,2010,341.78
236,ATG,2011,781.95
237,ATG,2012,694.16
238,ATG,2013,685.08
239,ATG,2014,174.47
240,ATG,2015,175.93
241,ATG,2016,180.2
242,ATG,2017,182.95
243,ATG,2018,199.78
244,ATG,2019,219.63
245,ATG,2020,250.02
246,ATG,2021,250.94
247,ATG,2022,251.4
248,ARG,1961,
249,ARG,1962,
250,ARG,1963,
251,ARG,1964,
252,ARG,1965,
253,ARG,1966,
254,ARG,1967,
255,ARG,1968,
256,ARG,1969,
257,ARG,1970,
258,ARG,1971,
259,ARG,1972,
260,ARG,1973,
261,ARG,1974,
262,ARG,1975,
263,ARG,1976,
264,ARG,1977,
265,ARG,1978,
266,ARG,1979,
267,ARG,1980,
268,ARG,1981,
269,ARG,1982,
270,ARG,1983,
271,ARG,1984,
272,ARG,1985,
273,ARG,1986,
274,ARG,1987,
275,ARG,1988,
276,ARG,1989,
277,ARG,1990,26156.0
278,ARG,1991,26156.0
279,ARG,1992,26156.0
280,ARG,1993,26156.0
281,ARG,1994,30195.0
282,ARG,1995,37842.0
283,ARG,1996,54595.0
284,ARG,1997,77691.0
285,ARG,1998,62397.0
286,ARG,1999,73293.04
287,ARG,2000,84189.08
288,ARG,2001,95085.12
289,ARG,2002,105981.16
290,ARG,2003,116877.2
291,ARG,2004,127773.24
292,ARG,2005,138669.28
293,ARG,2006,149565.32
294,ARG,2007,186790.19
295,ARG,2008,203369.34
296,ARG,2009,140094.8
297,ARG,2010,235739.1
298,ARG,2011,220610.04
299,ARG,2012,216308.7
300,ARG,2013,212007.35
301,ARG,2014,207706.0
302,ARG,2015,203807.0
303,ARG,2016,199908.0
304,ARG,2017,196009.0
305,ARG,2018,172928.0
306,ARG,2019,204559.0
307,ARG,2020,241294.18
308,ARG,2021,241519.98
309,ARG,2022,262506.93
310,ARM,1961,
311,ARM,1962,
312,ARM,1963,
313,ARM,1964,
314,ARM,1965,
315,ARM,1966,
316,ARM,1967,
317,ARM,1968,
318,ARM,1969,
319,ARM,1970,
320,ARM,1971,
321,ARM,1972,
322,ARM,1973,
323,ARM,1974,
324,ARM,1975,
325,ARM,1976,
326,ARM,1977,
327,ARM,1978,
328,ARM,1979,
329,ARM,1980,
330,ARM,1981,
331,ARM,1982,
332,ARM,1983,
333,ARM,1984,
334,ARM,1985,
335,ARM,1986,
336,ARM,1987,
337,ARM,1988,
338,ARM,1989,
339,ARM,1990,
340,ARM,1991,
341,ARM,1992,8.0
342,ARM,1993,8.0
343,ARM,1994,23.0
344,ARM,1995,23.9
345,ARM,1996,32.0
346,ARM,1997,41.46
347,ARM,1998,50.92
348,ARM,1999,60.38
349,ARM,2000,69.85
350,ARM,2001,79.31
351,ARM,2002,88.77
352,ARM,2003,98.23
353,ARM,2004,204.77
354,ARM,2005,220.51
355,ARM,2006,227.55
356,ARM,2007,241.71
357,ARM,2008,218.2
358,ARM,2009,198.36
359,ARM,2010,278.72
360,ARM,2011,320.67
361,ARM,2012,362.62
362,ARM,2013,404.57
363,ARM,2014,446.52
364,ARM,2015,488.47
365,ARM,2016,530.42
366,ARM,2017,572.37
367,ARM,2018,614.32
368,ARM,2019,527.33
369,ARM,2020,639.15
370,ARM,2021,914.03
371,ARM,2022,891.82
372,AUS,1961,
373,AUS,1962,
374,AUS,1963,
375,AUS,1964,
376,AUS,1965,
377,AUS,1966,
378,AUS,1967,
379,AUS,1968,
380,AUS,1969,
381,AUS,1970,
382,AUS,1971,
383,AUS,1972,
384,AUS,1973,
385,AUS,1974,
386,AUS,1975,
387,AUS,1976,
388,AUS,1977,
389,AUS,1978,
390,AUS,1979,
391,AUS,1980,
392,AUS,1981,
393,AUS,1982,
394,AUS,1983,
395,AUS,1984,
396,AUS,1985,
397,AUS,1986,
398,AUS,1987,
399,AUS,1988,
400,AUS,1989,
401,AUS,1990,17866.68
402,AUS,1991,17866.68
403,AUS,1992,22235.39
404,AUS,1993,23898.78
405,AUS,1994,21056.74
406,AUS,1995,25598.14
407,AUS,1996,31185.35
408,AUS,1997,34091.81
409,AUS,1998,37215.04
410,AUS,1999,34200.0
411,AUS,2000,33475.36
412,AUS,2001,32709.67
413,AUS,2002,26650.45
414,AUS,2003,32417.64
415,AUS,2004,36276.8
416,AUS,2005,34309.93
417,AUS,2006,35901.14
418,AUS,2007,32446.24
419,AUS,2008,42935.38
420,AUS,2009,38065.69
421,AUS,2010,42169.39
422,AUS,2011,47632.99
423,AUS,2012,48687.87
424,AUS,2013,45177.19
425,AUS,2014,49857.35
426,AUS,2015,50921.6
427,AUS,2016,63416.48
428,AUS,2017,59634.0
429,AUS,2018,59634.0
430,AUS,2019,59634.0
431,AUS,2020,59634.0
432,AUS,2021,59634.0
433,AUS,2022,59634.0
434,AUT,1961,
435,AUT,1962,
436,AUT,1963,
437,AUT,1964,
438,AUT,1965,
439,AUT,1966,
440,AUT,1967,
441,AUT,1968,
442,AUT,1969,
443,AUT,1970,
444,AUT,1971,
445,AUT,1972,
446,AUT,1973,
447,AUT,1974,
448,AUT,1975,
449,AUT,1976,
450,AUT,1977,
451,AUT,1978,
452,AUT,1979,
453,AUT,1980,
454,AUT,1981,
455,AUT,1982,
456,AUT,1983,
457,AUT,1984,
458,AUT,1985,
459,AUT,1986,
460,AUT,1987,
461,AUT,1988,
462,AUT,1989,
463,AUT,1990,4246.0
464,AUT,1991,4487.0
465,AUT,1992,3897.0
466,AUT,1993,3984.0
467,AUT,1994,3619.0
468,AUT,1995,3402.0
469,AUT,1996,3565.0
470,AUT,1997,3689.6
471,AUT,1998,3340.3
472,AUT,1999,3418.6
473,AUT,2000,3563.2
474,AUT,2001,3132.2
475,AUT,2002,3079.2
476,AUT,2003,3384.9
477,AUT,2004,3301.7
478,AUT,2005,3404.0
479,AUT,2006,3415.7
480,AUT,2007,3526.6
481,AUT,2008,4246.7
482,AUT,2009,3531.8
483,AUT,2010,3692.4
484,AUT,2011,3441.5
485,AUT,2012,3563.3
486,AUT,2013,3104.3
487,AUT,2014,3376.6
488,AUT,2015,3783.61
489,AUT,2016,3656.92
490,AUT,2017,4651.28
491,AUT,2018,5290.9
492,AUT,2019,4954.46
493,AUT,2020,5652.11
494,AUT,2021,5845.12
495,AUT,2022,3730.35
496,AZE,1961,
497,AZE,1962,
498,AZE,1963,
499,AZE,1964,
500,AZE,1965,
501,AZE,1966,
502,AZE,1967,
503,AZE,1968,
504,AZE,1969,
505,AZE,1970,
506,AZE,1971,
507,AZE,1972,
508,AZE,1973,
509,AZE,1974,
510,AZE,1975,
511,AZE,1976,
512,AZE,1977,
513,AZE,1978,
514,AZE,1979,
515,AZE,1980,
516,AZE,1981,
517,AZE,1982,
518,AZE,1983,
519,AZE,1984,
520,AZE,1985,
521,AZE,1986,
522,AZE,1987,
523,AZE,1988,
524,AZE,1989,
525,AZE,1990,
526,AZE,1991,
527,AZE,1992,148.68
528,AZE,1993,148.68
529,AZE,1994,148.68
530,AZE,1995,148.68
531,AZE,1996,148.68
532,AZE,1997,148.68
533,AZE,1998,148.68
534,AZE,1999,148.68
535,AZE,2000,148.68
536,AZE,2001,148.68
537,AZE,2002,148.68
538,AZE,2003,148.68
539,AZE,2004,148.68
540,AZE,2005,148.68
541,AZE,2006,148.68
542,AZE,2007,148.68
543,AZE,2008,262.99
544,AZE,2009,316.18
545,AZE,2010,333.85
546,AZE,2011,461.84
547,AZE,2012,516.35
548,AZE,2013,489.8
549,AZE,2014,531.84
550,AZE,2015,529.69
551,AZE,2016,542.82
552,AZE,2017,542.82
553,AZE,2018,542.82
554,AZE,2019,542.82
555,AZE,2020,542.82
556,AZE,2021,542.82
557,AZE,2022,542.82
558,BHS,1961,
559,BHS,1962,
560,BHS,1963,
561,BHS,1964,
562,BHS,1965,
563,BHS,1966,
564,BHS,1967,
565,BHS,1968,
566,BHS,1969,
567,BHS,1970,
568,BHS,1971,
569,BHS,1972,
570,BHS,1973,
571,BHS,1974,
572,BHS,1975,
573,BHS,1976,
574,BHS,1977,
575,BHS,1978,
576,BHS,1979,
577,BHS,1980,
578,BHS,1981,
579,BHS,1982,
580,BHS,1983,
581,BHS,1984,
582,BHS,1985,
583,BHS,1986,
584,BHS,1987,
585,BHS,1988,
586,BHS,1989,
587,BHS,1990,242.0
588,BHS,1991,257.1
589,BHS,1992,252.46
590,BHS,1993,313.9
591,BHS,1994,375.34
592,BHS,1995,335.15
593,BHS,1996,437.63
