,ano,country_code,precipitação_anual
0,1901,ABW,420.9
1,1902,ABW,420.9
2,1903,ABW,420.9
3,1904,ABW,420.9
4,1905,ABW,420.9
5,1906,ABW,420.9
6,1907,ABW,420.9
7,1908,ABW,420.9
8,1909,ABW,420.9
9,1910,ABW,420.9
10,1911,ABW,569.7
11,1912,ABW,487.0
12,1913,ABW,413.3
13,1914,ABW,393.8
14,1915,ABW,379.9
15,1916,ABW,442.3
16,1917,ABW,447.7
17,1918,ABW,434.3
18,1919,ABW,253.3
19,1920,ABW,324.1
20,1921,ABW,363.1
21,1922,ABW,503.1
22,1923,ABW,367.7
23,1924,ABW,574.0
24,1925,ABW,275.7
25,1926,ABW,446.4
26,1927,ABW,624.1
27,1928,ABW,486.3
28,1929,ABW,342.8
29,1930,ABW,305.5
30,1931,ABW,498.5
31,1932,ABW,475.7
32,1933,ABW,535.4
33,1934,ABW,439.2
34,1935,ABW,483.3
35,1936,ABW,455.9
36,1937,ABW,558.6
37,1938,ABW,544.8
38,1939,ABW,430.09999999999997
39,1940,ABW,288.4
40,1941,ABW,218.8
41,1942,ABW,620.7
42,1943,ABW,443.2
43,1944,ABW,479.4
44,1945,ABW,305.1
45,1946,ABW,378.8
46,1947,ABW,314.09999999999997
47,1948,ABW,310.7
48,1949,ABW,438.5
49,1950,ABW,574.5
50,1951,ABW,393.0
51,1952,ABW,375.0
52,1953,ABW,306.4
53,1954,ABW,380.3
54,1955,ABW,535.6
55,1956,ABW,599.5
56,1957,ABW,303.8
57,1958,ABW,219.2
58,1959,ABW,274.4
59,1960,ABW,376.5
60,1961,ABW,403.5
61,1962,ABW,342.2
62,1963,ABW,477.0
63,1964,ABW,328.2
64,1965,ABW,373.90000000000003
65,1966,ABW,667.6
66,1967,ABW,350.0
67,1968,ABW,316.5
68,1969,ABW,617.1
69,1970,ABW,612.2
70,1971,ABW,298.7
71,1972,ABW,455.9
72,1973,ABW,446.4
73,1974,ABW,384.59999999999997
74,1975,ABW,513.5
75,1976,ABW,261.4
76,1977,ABW,217.7
77,1978,ABW,300.6
78,1979,ABW,563.8
79,1980,ABW,311.6
80,1981,ABW,648.3
81,1982,ABW,334.8
82,1983,ABW,272.9
83,1984,ABW,413.0
84,1985,ABW,641.3
85,1986,ABW,354.2
86,1987,ABW,391.5
87,1988,ABW,591.2
88,1989,ABW,362.1
89,1990,ABW,463.2
90,1991,ABW,310.4
91,1992,ABW,383.6
92,1993,ABW,290.6
93,1994,ABW,367.6
94,1995,ABW,383.9
95,1996,ABW,501.8
96,1997,ABW,254.3
97,1998,ABW,426.2
98,1999,ABW,707.5
99,2000,ABW,484.3
100,2001,ABW,346.3
101,2002,ABW,266.8
102,2003,ABW,392.9
103,2004,ABW,641.0
104,2005,ABW,658.1
105,2006,ABW,503.09999999999997
106,2007,ABW,414.0
107,2008,ABW,624.2
108,2009,ABW,333.3
109,2010,ABW,697.9
110,2011,ABW,672.1
111,2012,ABW,348.8
112,2013,ABW,324.7
113,2014,ABW,282.4
114,2015,ABW,281.3
115,2016,ABW,440.5
116,2017,ABW,375.6
117,2018,ABW,467.2
118,2019,ABW,218.3
119,2020,ABW,394.2
120,2021,ABW,420.9
121,2022,ABW,420.9
122,1901,AFG,289.46
123,1902,AFG,269.52
124,1903,AFG,331.25
125,1904,AFG,315.44
126,1905,AFG,285.09000000000003
127,1906,AFG,305.08
128,1907,AFG,314.64
129,1908,AFG,332.41
130,1909,AFG,301.7
131,1910,AFG,316.54
132,1911,AFG,313.85
133,1912,AFG,310.62
134,1913,AFG,296.69
135,1914,AFG,359.88
136,1915,AFG,280.76
137,1916,AFG,292.12
138,1917,AFG,197.38
139,1918,AFG,307.66
140,1919,AFG,324.46
141,1920,AFG,313.28
142,1921,AFG,304.19
143,1922,AFG,315.63
144,1923,AFG,338.87
145,1924,AFG,381.56
146,1925,AFG,258.16
147,1926,AFG,321.90999999999997
148,1927,AFG,264.52
149,1928,AFG,286.71000000000004
150,1929,AFG,289.21000000000004
151,1930,AFG,307.43
152,1931,AFG,384.6
153,1932,AFG,303.77
154,1933,AFG,339.40999999999997
155,1934,AFG,343.3
156,1935,AFG,328.15
157,1936,AFG,303.72
158,1937,AFG,318.4
159,1938,AFG,319.98
160,1939,AFG,355.69
161,1940,AFG,297.49
162,1941,AFG,319.32
163,1942,AFG,359.06
164,1943,AFG,351.53
165,1944,AFG,314.38
166,1945,AFG,345.5
167,1946,AFG,252.13
168,1947,AFG,268.73
169,1948,AFG,301.64
170,1949,AFG,297.97
171,1950,AFG,295.35
172,1951,AFG,330.07
173,1952,AFG,325.98
