,country_code,ano,producao_total(t),area_total_de_producao(ha)
0,AFG,1961,4930486.99,3627636.0
1,AFG,1962,4986585.54,3740200.0
2,AFG,1963,4730561.54,3742700.0
3,AFG,1964,5139024.72,3772600.0
4,AFG,1965,5302535.970000001,3783800.0
5,AFG,1966,5068247.57,3796300.0
6,AFG,1967,5600283.98,3470400.0
7,AFG,1968,5714996.6,3388200.0
8,AFG,1969,5891807.35,3431600.0
9,AFG,1970,5270118.18,3528700.0
10,AFG,1971,4980259.94,3749300.0
11,AFG,1972,5683637.7,4280100.0
12,AFG,1973,6149662.51,3707500.0
13,AFG,1974,6329379.14,3713600.0
14,AFG,1975,6570630.84,3784700.0
15,AFG,1976,6916994.58,3822650.0
16,AFG,1977,5947096.43,3775700.0
17,AFG,1978,6386821.390000001,3778900.0
18,AFG,1979,6197104.59,3569700.0
19,AFG,1980,5993216.94,3402400.0
20,AFG,1981,5810590.69,3292000.0
21,AFG,1982,5602883.83,3171000.0
22,AFG,1983,5439665.98,3010200.0
23,AFG,1984,5239135.3100000005,2915800.0
24,AFG,1985,4977849.71,2786400.0
25,AFG,1986,4721097.34,2675100.0
26,AFG,1987,4952874.86,2812100.0
27,AFG,1988,4554453.99,2642600.0
28,AFG,1989,4331814.3,2594210.0
29,AFG,1990,4288046.42,2556292.0
30,AFG,1991,5202868.16,2687650.0
31,AFG,1992,4896626.91,2583681.0
32,AFG,1993,5406453.9,2977267.0
33,AFG,1994,5583626.88,3103191.0
34,AFG,1995,5707503.26,3020387.0
35,AFG,1996,5736561.4399999995,3062414.0
36,AFG,1997,6175029.48,3084895.0
37,AFG,1998,6383550.83,3152542.0
38,AFG,1999,5787680.28,2887178.0
39,AFG,2000,4404838.290000001,2750315.0
40,AFG,2001,4585490.7299999995,2434514.0
41,AFG,2002,6232357.03,2577078.0
42,AFG,2003,7029972.300000001,3360751.0
43,AFG,2004,6000171.359999999,3010539.0
44,AFG,2005,8170365.01,3441747.0
45,AFG,2006,7487578.4,3386177.0
46,AFG,2007,8712042.41,3428717.0
47,AFG,2008,6796501.15,3117361.0
48,AFG,2009,9687551.29,3616144.0
49,AFG,2010,8891529.05,3400012.0
50,AFG,2011,7306021.76,3213632.0
51,AFG,2012,9358034.34,3542680.0
52,AFG,2013,9576499.940000001,3564037.0
53,AFG,2014,10401102.81,3797707.0
54,AFG,2015,9541055.54,3272842.0
55,AFG,2016,10538629.53,3470403.0
56,AFG,2017,9570613.64,2990578.0
57,AFG,2018,8489683.51,2446188.0
58,AFG,2019,10958492.65,3277614.0
59,AFG,2020,11878020.099999998,3719792.0
60,AFG,2021,11251968.559999999,3103576.0
