,ano,temperatura_media_anual(°C),country_code
0,1961,17.68,AFG
1,1961,15.16,ALB
2,1961,19.24,DZA
3,1961,21.97,AGO
4,1961,-15.67,ATA
5,1961,16.18,ARG
6,1961,5.24,ARM
7,1961,18.37,AUS
8,1961,7.55,AUT
9,1961,13.92,AZE
10,1961,25.19,BHR
11,1961,25.35,BGD
12,1961,25.96,BRB
13,1961,12.64,BLR
14,1961,10.18,BEL
15,1961,25.98,BLZ
16,1961,26.49,BEN
17,1961,18.36,BOL
18,1961,9.37,BIH
19,1961,21.0,BWA
20,1961,23.23,BRA
21,1961,10.6,BGR
22,1961,27.5,BFA
23,1961,26.24,MMR
24,1961,26.44,KHM
25,1961,24.11,CMR
26,1961,3.5,CAN
27,1961,23.62,CPV
28,1961,24.76,CAF
29,1961,27.75,TCD
30,1961,12.19,CHL
31,1961,11.46,CHN
32,1961,21.74,COL
33,1961,26.18,COM
34,1961,24.16,COC
35,1961,23.58,COD
36,1961,19.57,CRI
37,1961,25.22,CIV
38,1961,12.87,HRV
39,1961,24.99,CUB
40,1961,19.82,CYP
41,1961,7.79,CZE
42,1961,8.45,DNK
43,1961,25.57,DOM
44,1961,18.67,ECU
45,1961,21.69,EGY
46,1961,24.55,SLV
47,1961,24.03,ERI
48,1961,6.92,EST
49,1961,20.83,ETH
50,1961,25.83,FJI
51,1961,4.16,FIN
52,1961,11.8,FRA
53,1961,24.74,GAB
54,1961,13.05,GEO
55,1961,8.86,DEU
56,1961,26.75,GHA
57,1961,17.43,GRC
58,1961,26.82,GRD
59,1961,18.83,GTM
60,1961,24.7,GIN
61,1961,26.59,GNB
62,1961,27.07,GUY
63,1961,27.41,HTI
64,1961,25.76,HND
65,1961,10.87,HUN
66,1961,4.5,ISL
67,1961,23.84,IND
68,1961,26.5,IDN
69,1961,16.24,IRN
70,1961,22.33,IRQ
71,1961,9.51,IRL
72,1961,19.79,ISR
73,1961,13.21,ITA
74,1961,24.93,JAM
75,1961,15.07,JPN
76,1961,18.75,JOR
77,1961,6.59,KAZ
78,1961,20.71,KEN
79,1961,8.53,PRK
80,1961,13.73,KOR
81,1961,24.86,KWT
82,1961,4.47,KGZ
83,1961,26.44,LAO
84,1961,8.17,LVA
85,1961,18.28,LBN
86,1961,25.67,LBR
87,1961,19.09,LBY
88,1961,7.36,LTU
89,1961,9.18,LUX
90,1961,21.86,MWI
91,1961,26.86,MYS
92,1961,18.43,MLT
93,1961,21.41,MEX
94,1961,16.63,MDA
95,1961,-0.44,MNG
96,1961,16.43,MNE
97,1961,19.05,MAR
98,1961,24.24,MOZ
99,1961,17.98,NAM
100,1961,17.87,NPL
101,1961,9.73,NLD
102,1961,12.32,NZL
103,1961,25.96,NIC
104,1961,27.18,NER
105,1961,26.38,NGA
106,1961,4.77,NOR
107,1961,25.17,OMN
108,1961,22.17,PAK
109,1961,25.12,PLW
110,1961,26.38,PAN
111,1961,23.98,PNG
112,1961,23.33,PRY
113,1961,19.08,PER
114,1961,26.55,PHL
115,1961,8.39,POL
116,1961,16.42,PRT
117,1961,9.71,ROU
118,1961,-0.08,RUS
119,1961,26.12,SAU
120,1961,27.88,SEN
121,1961,11.45,SRB
122,1961,27.11,SYC
123,1961,26.4,SLE
124,1961,27.2,SGP
125,1961,8.2,SVK
126,1961,7.63,SVN
127,1961,26.37,SLB
128,1961,28.34,SOM
129,1961,17.45,ZAF
130,1961,15.12,ESP
131,1961,24.98,LKA
132,1961,27.17,SDN
133,1961,26.72,SUR
134,1961,5.33,SWE
135,1961,7.64,CHE
136,1961,18.68,SYR
137,1961,23.49,TWN
138,1961,8.8,TJK
139,1961,22.94,TZA
140,1961,26.98,THA
141,1961,26.23,TLS
142,1961,26.88,TGO
143,1961,25.95,TON
144,1961,19.63,TUN
145,1961,13.26,TUR
146,1961,15.85,TKM
147,1961,27.84,TUV
148,1961,20.84,UGA
149,1961,11.37,UKR
150,1961,24.24,ARE
151,1961,9.3,GBR
152,1961,11.05,USA
153,1961,17.8,URY
154,1961,13.46,UZB
155,1961,25.54,VUT
156,1961,25.52,VEN
157,1961,25.96,VNM
158,1961,29.08,YEM
159,1961,20.78,ZMB
160,1961,19.28,ZWE
161,1962,17.53,AFG
162,1962,15.21,ALB
163,1962,18.55,DZA
164,1962,21.52,AGO
165,1962,-12.71,ATA
166,1962,16.47,ARG
167,1962,5.86,ARM
168,1962,17.76,AUS
169,1962,5.88,AUT
170,1962,11.78,AZE
171,1962,26.38,BHR
172,1962,25.35,BGD
173,1962,25.82,BRB
174,1962,6.2,BLR
175,1962,8.1,BEL
176,1962,24.56,BLZ
177,1962,26.54,BEN
178,1962,18.81,BOL
179,1962,8.31,BIH
180,1962,21.05,BWA
181,1962,22.55,BRA
182,1962,10.15,BGR
183,1962,27.71,BFA
184,1962,26.21,MMR
185,1962,25.35,KHM
186,1962,24.35,CMR
187,1962,3.2,CAN
188,1962,25.26,CPV
189,1962,24.77,CAF
190,1962,28.38,TCD
191,1962,12.58,CHL
192,1962,10.94,CHN
193,1962,22.32,COL
194,1962,25.82,COM
195,1962,24.32,COC
196,1962,24.09,COD
197,1962,19.39,CRI
198,1962,25.25,CIV
199,1962,11.68,HRV
200,1962,24.62,CUB
201,1962,20.65,CYP
202,1962,6.12,CZE
203,1962,7.01,DNK
204,1962,25.26,DOM
205,1962,18.65,ECU
206,1962,21.25,EGY
207,1962,25.2,SLV
208,1962,24.41,ERI
209,1962,4.89,EST
210,1962,19.93,ETH
211,1962,25.58,FJI
212,1962,1.93,FIN
213,1962,10.25,FRA
214,1962,24.91,GAB
215,1962,13.66,GEO
216,1962,7.05,DEU
217,1962,26.49,GHA
218,1962,17.47,GRC
219,1962,26.82,GRD
220,1962,17.91,GTM
221,1962,24.8,GIN
222,1962,26.38,GNB
223,1962,27.05,GUY
224,1962,27.4,HTI
225,1962,24.69,HND
226,1962,9.45,HUN
227,1962,4.03,ISL
228,1962,23.82,IND
229,1962,26.52,IDN
230,1962,16.3,IRN
231,1962,23.52,IRQ
232,1962,8.68,IRL
233,1962,20.92,ISR
234,1962,12.37,ITA
235,1962,25.52,JAM
236,1962,14.37,JPN
237,1962,20.76,JOR
238,1962,7.57,KAZ
239,1962,22.19,KEN
240,1962,7.85,PRK
241,1962,13.01,KOR
242,1962,25.24,KWT
243,1962,4.36,KGZ
244,1962,24.83,LAO
245,1962,5.08,LVA
246,1962,19.18,LBN
